name,radius,period,duration,source
TOI-1000.01,5.8181633,2.1713484,2.0172196,TESS
TOI-1001.01,11.2154,1.9316462,3.166,TESS
TOI-1002.01,23.7529,1.8675574,1.408,TESS
TOI-1004.01,11.3113,3.5730141,3.37,TESS
TOI-1005.01,7.10841,4.5505945,2.654,TESS
TOI-1006.01,8.6950898,2.5047918,4.3797563,TESS
TOI-1007.01,14.7752,6.9989206,3.953,TESS
TOI-1008.01,3.19621,2.0483755,2.767,TESS
TOI-101.01,13.1874503,1.4303699,1.6165994,TESS
TOI-1010.01,5.9115908,0.6808702,2.4634563,TESS
TOI-1011.01,1.44656,2.4704981,2.191,TESS
TOI-1012.01,24.8132,0.884182,1.621,TESS
TOI-1015.01,42.1479417,1.3730466,2.5708515,TESS
TOI-1016.01,14.0608342,12.6889415,7.9201001,TESS
TOI-1017.01,21.0448,1.10422,2.37,TESS
TOI-1018.01,22.9123,4.95912,2.509,TESS
TOI-1019.01,24.2931408,5.2341008,3.7078139,TESS
TOI-102.01,15.4706,4.4119378,3.65,TESS
TOI-1021.01,3.34688,1.90879,1.909,TESS
TOI-1022.01,3.4262,3.09574,4.475,TESS
TOI-1023.01,21.8839,1.3214483,3.435,TESS
TOI-1024.01,21.644,18.0157,2.524,TESS
TOI-1026.01,2.4765813,14.2628757,6.9350494,TESS
TOI-1027.01,2.87648,3.2834565,1.537,TESS
TOI-1027.02,2.76586,11.02875,2.715,TESS
TOI-1027.03,2.52314,5.0113292,1.024,TESS
TOI-1028.01,1.20704,1.01606,2.843,TESS
TOI-103.01,14.581841,3.547854,3.494333,TESS
TOI-1030.01,17.6729,12.1246519,4.612,TESS
TOI-1031.01,8.94354,5.652623,3.434,TESS
TOI-1032.01,14.7738943,5.6643704,3.8087395,TESS
TOI-1033.01,6.77406,29.0160175,5.345,TESS
TOI-1034.01,3.7025342,3.6404389,2.5339234,TESS
TOI-1035.01,30.9493217,6.0744477,2.4954821,TESS
TOI-1036.01,5.98375,3.7795212,2.952,TESS
TOI-1037.01,6.31106,1.2025238,1.991,TESS
